"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","","","2626","","Tests ROR National","","","","ws-diffusion-fhir / HealthcareService - Patientele / Pas d'âge précisé et type de patientèle unique / Type de patientèle",""
"passed","","","52","","Tests ROR National","","","","ws-diffusion-fhir / HealthcareService - Tous critères / Last_updated eq (>= 1 résultat) / Status 200",""
"passed","","","527","","Tests ROR National","","","","ws-diffusion-fhir / HealthcareService - Tous critères / Service_category (|[code]) / Status 200",""
"passed","","","35","","Tests ROR National","","","","ws-diffusion-fhir / Scénarios / Consultation des données capacitaires / #5 - Données capacitaires d’une offre opérationnelle / Status 200",""
"passed","","","364","","Tests ROR National","","","","ws-diffusion-fhir / HealthcareService - Tous critères / Characteristic ([code]) / Charactertic: [code]",""
"passed","","","304","","Tests ROR National","","","","ws-diffusion-fhir / Location - Capacity / nb-capacity (eq 10) / Status 200",""
"passed","","","2241","","Tests ROR National","","","","ws-diffusion-fhir / HealthcareService - Patientele / Age accepté entre 5 et 18 ans / Type de patientèle",""
"passed","","","358","","Tests ROR National","","","","ws-diffusion-fhir / HealthcareService - Tous critères / Service-category ([code]) / Toutes les resources possèdent leurs champs obligatoires",""
"passed","","","429","","Tests ROR National","","","","ws-diffusion-fhir / HealthcareService - Tous critères / Specialty (Plusieurs choix) / Status 200",""
"passed","","","2478","","Tests ROR National","","","","ws-diffusion-fhir / HealthcareService - Name / Paramètre de recherche _include incorrect / Nombre de résultats indentiques",""
"failed","","","408","","Tests ROR National","","","","ws-diffusion-fhir / HealthcareService - Tous critères / Specific-competence ([code]) / Toutes les resources possèdent leurs champs obligatoires",""
"failed","","","232","","Tests ROR National","","","","ws-diffusion-fhir / Location - Capacity / nb-capacity (lt 10) / Toutes les resources possèdent leurs champs obligatoires",""
"passed","","","25","","Tests ROR National","","","","ws-diffusion-fhir / Scénarios / Recherche d'offre sur critères principaux / #5 - Recherche multicritère - ET/OU / Toutes les resources possèdent leurs champs obligatoires",""
"failed","","","2626","","Tests ROR National","","","","ws-diffusion-fhir / HealthcareService - Patientele / Pas d'âge précisé et type de patientèle unique / Nombre de totaux identiques",""
"passed","","","221","","Tests ROR National","","","","ws-diffusion-fhir / HealthcareService - Tous critères / Serice_type (|[code]) / Toutes les resources possèdent leurs champs obligatoires",""
"failed","","","329","","Tests ROR National","","","","ws-diffusion-fhir / HealthcareService - Name / Rercherche par organization:name:above / Toutes les resources possèdent leurs champs obligatoires",""
"passed","","","25","","Tests ROR National","","","","ws-diffusion-fhir / Scénarios / Consultation des données capacitaires / #3 - Données capacitaires sur plusieurs lieux de prise en charge identifiés / Toutes les resources possèdent leurs champs obligatoires",""
"passed","","","24","","Tests ROR National","","","","ws-diffusion-fhir / Location - Tous critères / identifier (no result) / Status 200",""
"passed","","","36","","Tests ROR National","","","","ws-diffusion-fhir / Scénarios / Consultation des données capacitaires / #2 - Données capacitaires sur un lieu de prise en charge identifié / resourceType Bundle et Type SearchSet",""
"passed","","","37","","Tests ROR National","","","","ws-diffusion-fhir / Location - Tous critères / identifier:of-type (with result) Copy / Status 200",""
"failed","","","13761","","Tests ROR National","","","","ws-diffusion-fhir / Location - Capacity / nb-capacity (gt 10) / Toutes les resources possèdent leurs champs obligatoires",""
"failed","","","96","","Tests ROR National","","","","ws-diffusion-fhir / Location - Capacity / capacity-status ([code]) / Toutes les resources possèdent leurs champs obligatoires",""
"passed","","","19","","Tests ROR National","","","","ws-diffusion-fhir / HealthcareService - Near / Unité de rayon non définie / Status 400",""
"passed","","","32","","Tests ROR National","","","","ws-diffusion-fhir / HealthcareService - Near / Rayon <= 0km / Toutes les resources possèdent leurs champs obligatoires",""
"passed","","","30","","Tests ROR National","","","","ws-diffusion-fhir / Location - Capacity / last_updated (gt no résultat) / Nombre de totaux identiques",""
"failed","","","26","","Tests ROR National","","","","ws-diffusion-fhir / HealthcareService - Near / Latitude < -90 / ResourceType : OperationOutcome",""
"failed","","","2733","","Tests ROR National","","","","ws-diffusion-fhir / HealthcareService - Patientele / Age accepté >= 5 ans / Nombre de totaux identiques",""
"passed","","","249","","Tests ROR National","","","","ws-diffusion-fhir / HealthcareService - Tous critères / Last_updated gt (>= 1 résultat) Copy / Status 200",""
"passed","","","27","","Tests ROR National","","","","ws-diffusion-fhir / HealthcareService - Tous critères / Specialty (|[system]) / Toutes les resources possèdent leurs champs obligatoires",""
"failed","","","2626","","Tests ROR National","","","","ws-diffusion-fhir / HealthcareService - Patientele / Pas d'âge précisé et type de patientèle unique / Toutes les resources possèdent leurs champs obligatoires",""
"passed","","","22","","Tests ROR National","","","","ws-diffusion-fhir / Scénarios / Recherche d'offre sur critères principaux / #9 - Recherche sur une ville - Code Postal / Toutes les resources possèdent leurs champs obligatoires",""
"passed","","","38","","Tests ROR National","","","","ws-diffusion-fhir / Location - Tous critères / _id (1 seul résultat) / Nombre de totaux identiques",""
"passed","","","21","","Tests ROR National","","","","ws-diffusion-fhir / Scénarios / Recherche d'offre sur critères principaux / #3 - Recherche multicritères - ET / Toutes les resources possèdent leurs champs obligatoires",""
"passed","","","52","","Tests ROR National","","","","ws-diffusion-fhir / HealthcareService - Tous critères / Last_updated eq (>= 1 résultat) / Nombre de totaux identiques",""
"passed","","","21","","Tests ROR National","","","","ws-diffusion-fhir / Scénarios / Recherche d'offre sur critères principaux / #2 - Recherche sur un critère en saisissant une liste de valeur / Toutes les resources possèdent leurs champs obligatoires",""
"failed","","","27","","Tests ROR National","","","","ws-diffusion-fhir / HealthcareService - Name / Paramètre de recherche _filter incorrect / ResourceType : OperationOutcome",""
"passed","","","27","","Tests ROR National","","","","ws-diffusion-fhir / Location - Capacity / capacity-update-date (eq with result) / Toutes les resources possèdent leurs champs obligatoires",""
"passed","","","29","","Tests ROR National","","","","ws-diffusion-fhir / HealthcareService - Tous critères / Service_category ([system]|) / Status 200",""
"passed","","","507","","Tests ROR National","","","","ws-diffusion-fhir / HealthcareService - Tous critères / _count=10 / Status 200",""
"failed","","","663","","Tests ROR National","","","","ws-diffusion-fhir / HealthcareService - Tous critères / Specific-competence (Plusieurs choix) / Toutes les resources possèdent leurs champs obligatoires",""
"passed","","","22","","Tests ROR National","","","","ws-diffusion-fhir / HealthcareService - Tous critères / Psychiatric-sector (Paramètre au format invalide) / Toutes les resources possèdent leurs champs obligatoires",""
"passed","","","189","","Tests ROR National","","","","ws-diffusion-fhir / Scénarios / Recherche d'offre sur critères principaux / #12 - Recherche d’offre en anomalie sur une région avec un statut à traiter ou à vérifier / Toutes les resources possèdent leurs champs obligatoires",""
"passed","","","1331","","Tests ROR National","","","","ws-diffusion-fhir / HealthcareService - Tous critères / Tag ([code]) / Nombre de totaux identiques",""
"failed","","","37","","Tests ROR National","","","","ws-diffusion-fhir / Location - Tous critères / identifier:of-type (with result) Copy / Toutes les resources possèdent leurs champs obligatoires",""
"failed","","","27","","Tests ROR National","","","","ws-diffusion-fhir / HealthcareService - Name / Paramètre de recherche _filter incorrect / Status 400",""
"passed","","","27","","Tests ROR National","","","","ws-diffusion-fhir / Location - Tous critères / identifier:of-type (no result) / Toutes les resources possèdent leurs champs obligatoires",""
"failed","","","2241","","Tests ROR National","","","","ws-diffusion-fhir / HealthcareService - Patientele / Age accepté entre 5 et 18 ans / Plage de valeur d'âges acceptés par le HS",""
"passed","","","155","","Tests ROR National","","","","ws-diffusion-fhir / HealthcareService - Tous critères / Identifier existe (>= 1 résultat) / Toutes les resources possèdent leurs champs obligatoires",""
"passed","","","1428","","Tests ROR National","","","","ws-diffusion-fhir / HealthcareService - Tous critères / Tag ([system]|[code]) / Toutes les resources possèdent leurs champs obligatoires",""
"passed","","","329","","Tests ROR National","","","","ws-diffusion-fhir / HealthcareService - Name / Rercherche par organization:name:above / Status 200",""
"passed","","","32","","Tests ROR National","","","","ws-diffusion-fhir / HealthcareService - Tous critères / Last_updated gt (0 résultat) / Nombre de totaux identiques",""
"passed","","","25","","Tests ROR National","","","","ws-diffusion-fhir / Location - Capacity / last_updated (eq with résultat) / Toutes les resources possèdent leurs champs obligatoires",""
"passed","","","173","","Tests ROR National","","","","ws-diffusion-fhir / HealthcareService - Tous critères / Tag not existe, system and code(0 résultat) / Status 200",""
"passed","","","22","","Tests ROR National","","","","ws-diffusion-fhir / Scénarios / Consultation de l'offre (extraction) / #2 - Extraction de l’ensemble des offres de santé d’un établissement / Toutes les resources possèdent leurs champs obligatoires",""
"passed","","","23","","Tests ROR National","","","","ws-diffusion-fhir / Scénarios / Recherche d'offre sur critères principaux / #10 - Recherche sur une ville - Code commune / Toutes les resources possèdent leurs champs obligatoires",""
"passed","","","155","","Tests ROR National","","","","ws-diffusion-fhir / HealthcareService - Tous critères / Identifier existe (>= 1 résultat) / Nombre de totaux identiques",""
"passed","","","364","","Tests ROR National","","","","ws-diffusion-fhir / HealthcareService - Tous critères / Characteristic ([code]) / Toutes les resources possèdent leurs champs obligatoires",""
"passed","","","1378","","Tests ROR National","","","","ws-diffusion-fhir / HealthcareService - Name / Recherche par _filter, sans _include / Toutes les resources possèdent leurs champs obligatoires",""
"failed","","","317","","Tests ROR National","","","","ws-diffusion-fhir / HealthcareService - Tous critères / Specialty ([system]|[code]) / Toutes les resources possèdent leurs champs obligatoires",""
"passed","","","1781","","Tests ROR National","","","","ws-diffusion-fhir / HealthcareService - Tous critères / Service-type ([code]) / Status 200",""
"passed","","","349","","Tests ROR National","","","","ws-diffusion-fhir / HealthcareService - Tous critères / Specialty ([code]) / Status 200",""
"passed","","","259","","Tests ROR National","","","","ws-diffusion-fhir / HealthcareService - Tous critères / Last_updated lt (>= 1 résultat) Copy / Status 200",""
"passed","","","707","","Tests ROR National","","","","ws-diffusion-fhir / HealthcareService - Tous critères / Service_category (Plusieurs choix) / Toutes les resources possèdent leurs champs obligatoires",""
